run;date;hrs_after_incubation;pipe_nr;treatment;tinytag;minute;ppm;
1;15.10.2025;48;14;SCW;A;ppm_6;887;
1;15.10.2025;48;9;BUW;B;ppm _room;701;
1;15.10.2025;48;9;BUW;B;ppm_0;699;
1;15.10.2025;48;9;BUW;B;ppm_1;715;
1;15.10.2025;48;9;BUW;B;ppm_2;729;
1;15.10.2025;48;9;BUW;B;ppm_3;743;
1;15.10.2025;48;9;BUW;B;ppm_4;757;
1;15.10.2025;48;9;BUW;B;ppm_5;770;
1;15.10.2025;48;9;BUW;B;ppm_6;782;
1;15.10.2025;48;10;BCW;C;ppm _room;673;
1;15.10.2025;48;10;BCW;C;ppm_0;688;
1;15.10.2025;48;10;BCW;C;ppm_1;698;
1;15.10.2025;48;10;BCW;C;ppm_2;709;
1;15.10.2025;48;10;BCW;C;ppm_3;720;
1;15.10.2025;48;10;BCW;C;ppm_4;731;
1;15.10.2025;48;10;BCW;C;ppm_5;742;
1;15.10.2025;48;10;BCW;C;ppm_6;753;
1;15.10.2025;48;12;BCD;D;ppm _room;752;
1;15.10.2025;48;12;BCD;D;ppm_0;753;
1;15.10.2025;48;12;BCD;D;ppm_1;760;
1;15.10.2025;48;12;BCD;D;ppm_2;765;
1;15.10.2025;48;12;BCD;D;ppm_3;770;
1;15.10.2025;48;12;BCD;D;ppm_4;775;
1;15.10.2025;48;12;BCD;D;ppm_5;780;
1;15.10.2025;48;12;BCD;D;ppm_6;785;
1;15.10.2025;48;13;SUW;E;ppm _room;730;
1;15.10.2025;48;13;SUW;E;ppm_0;733;
1;15.10.2025;48;13;SUW;E;ppm_1;777;
1;15.10.2025;48;13;SUW;E;ppm_2;816;
1;15.10.2025;48;13;SUW;E;ppm_3;853;
1;15.10.2025;48;13;SUW;E;ppm_4;885;
1;15.10.2025;48;13;SUW;E;ppm_5;914;
1;15.10.2025;48;13;SUW;E;ppm_6;944;
1;15.10.2025;48;16;SCD;F;ppm _room;701;
1;15.10.2025;48;16;SCD;F;ppm_0;700;
